,state,nightlife_bus,pct_closed,latitude_mean,longitude_mean,emergency_to_home_days,emergency_from_mean,stay_from_mean,polarity_mean,subjectivity_mean,Loan Count,Net Dollars,political
0,AZ,2700,0.3925925925925926,33.49505375231075,-111.99043699603823,20.0,-3,-4.0,0.0890696008636457,0.36146984534616994,84042,8630069735.0,-1
1,NV,2545,0.3850687622789784,36.1177163856845,-115.17079486533703,20.0,-4,-5.0,0.08279312709796359,0.34754366967846134,44412,4168400660.0,1
2,WI,521,0.2456813819577735,43.07404811921055,-89.39790856559938,13.0,-4,2.0,0.08042193608295178,0.3546766227906914,87893,9874226971.0,-1
3,NC,1085,0.31244239631336407,35.22910937236981,-80.83285259786423,20.0,-2,-3.0,0.0966435187499573,0.36539164864348556,126557,12218361926.0,-1
4,IL,147,0.2925170068027211,40.11795746381498,-88.2460502462701,12.0,-1,6.0,0.097431600888923,0.3619783384718579,212921,22538624359.0,2
5,OH,1553,0.26658081133290407,41.42946388097221,-81.66487623184682,14.0,-1,4.0,0.08220596366658146,0.3482225178824044,145112,18401039628.0,-2
6,PA,1121,0.26851025869759143,40.44318531947408,-79.98242815024273,26.0,2,-5.0,0.08942127317604678,0.3667144301745145,170519,20632038111.0,-1
