,state,group_dine_bus,pct_closed,latitude_mean,longitude_mean,emergency_to_home_days,emergency_from_mean,stay_from_mean,polarity_mean,subjectivity_mean,Loan Count,Net Dollars,political
0,AZ,393,0.45038167938931295,33.47704713441502,-111.99258725483557,20.0,-3,-4.0,0.08906960086365169,0.36146984534618065,84042,8630069735.0,-1
1,NV,329,0.5531914893617021,36.1147142489316,-115.17192971534551,20.0,-4,-5.0,0.08279312709796013,0.34754366967847655,44412,4168400660.0,1
2,WI,43,0.46511627906976744,43.07421762049534,-89.39734265786278,13.0,-4,2.0,0.08042193608295202,0.35467662279069134,87893,9874226971.0,-1
3,NC,147,0.40816326530612246,35.23155596189388,-80.83267371560815,20.0,-2,-3.0,0.09664351874995876,0.3653916486434951,126557,12218361926.0,-1
4,IL,16,0.5625,40.118441072437506,-88.24283290653752,12.0,-1,6.0,0.09743160088892318,0.36197833847185906,212921,22538624359.0,2
5,OH,141,0.3617021276595745,41.433951733374485,-81.65299708299293,14.0,-1,4.0,0.08220596366658245,0.34822251788241887,145112,18401039628.0,-2
6,PA,84,0.38095238095238093,40.44622521572857,-79.96026645560717,26.0,2,-5.0,0.0894212731760477,0.36671443017451916,170519,20632038111.0,-1
